"uniprotkb_canonical_ac","xref_key","xref_id","do_id","mondo_id","mim_id"
"Q9BT22-1","protein_xref_genomics_england","ALG1","0080563","0012052","608540"
"Q2TAA5-1","protein_xref_genomics_england","ALG11","0080567","0013349","613661"
"Q9BV10-1","protein_xref_genomics_england","ALG12","0080559","0011783","607143"
"Q96F25-1","protein_xref_genomics_england","ALG14","0110658","0014542","616227"
"Q92685-1","protein_xref_genomics_england","ALG3","0080556","0010998","601110"
"Q9Y672-1","protein_xref_genomics_england","ALG6","0080555","0011291","603147"
"Q9BVK2-1","protein_xref_genomics_england","ALG8","0080560","0011969","608104"
"Q9H6U8-1","protein_xref_genomics_england","ALG9","0080564","0012117","608776"
"Q15904-1","protein_xref_genomics_england","ATP6AP1","0112002","0010504","300972"
"Q9Y487-1","protein_xref_genomics_england","ATP6V0A2","0112171","0010208","278250"
"Q8NCR0-1","protein_xref_genomics_england","B3GALNT2","0111230","0014071","615181"
"Q96L58-1","protein_xref_genomics_england","B3GALT6","0050802","0014139","615349"
"Q96L58-1","protein_xref_genomics_england","B3GALT6","0112197","0010075","271640"
"O94766-1","protein_xref_genomics_england","B3GAT3","0080575","0009511","245600"
"Q6Y288-1","protein_xref_genomics_england","B3GLCT","0080201","0009856","261540"
"Q00973-1","protein_xref_genomics_england","B4GALNT1","0110777","0012213","609195"
"P15291-1","protein_xref_genomics_england","B4GALT1","0070256","0011772","607091"
"Q9UBV7-1","protein_xref_genomics_england","B4GALT7","0080738","0020682","130070"
"Q96NT0-1","protein_xref_genomics_england","CCDC115","0070267","0014789","616828"
"Q8NCH0-1","protein_xref_genomics_england","CHST14","0080736","0020681","601776"
"Q7LGC8-1","protein_xref_genomics_england","CHST3","0050813","0007738","143095"
"Q9GZX3-1","protein_xref_genomics_england","CHST6","2565","0009020","217800"
"Q86X52-1","protein_xref_genomics_england","CHSY1","0050814","0011533","605282"
"Q8WTW3-1","protein_xref_genomics_england","COG1","0070259","0012637","611209"
"Q9H9E3-1","protein_xref_genomics_england","COG4","0070262","0013281","613489"
"Q9UP83-2","protein_xref_genomics_england","COG5","0070261","0013325","613612"
"Q9Y2V7-1","protein_xref_genomics_england","COG6","0070264","0013810","614576"
"Q9Y2V7-1","protein_xref_genomics_england","COG6","","0014131","615328"
"P83436-1","protein_xref_genomics_england","COG7","0070257","0012118","608779"
"Q96MW5-1","protein_xref_genomics_england","COG8","0070260","0012635","611182"
"Q8TDX6-1","protein_xref_genomics_england","CSGALNACT1","","0030029","618870"
"Q9UPQ8-1","protein_xref_genomics_england","DOLK","0080565","0012556","610768"
"Q9H3H5-1","protein_xref_genomics_england","DPAGT1","0080562","0011964","608093"
"Q9H3H5-1","protein_xref_genomics_england","DPAGT1","0110676","0013883","614750"
"O60762-1","protein_xref_genomics_england","DPM1","0080557","0012123","608799"
"O94777-1","protein_xref_genomics_england","DPM2","0080571","0014023","615042"
"Q9P2X0-1","protein_xref_genomics_england","DPM3","","0013049","612937"
"Q9BZQ6-1","protein_xref_genomics_england","EDEM3","","0030423","619493"
"Q5NDL2-1","protein_xref_genomics_england","EOGT","0060227","0014124","615297"
"Q16394-1","protein_xref_genomics_england","EXT1","206","0007585","133700"
"Q93063-1","protein_xref_genomics_england","EXT2","","0014731","616682"
"Q93063-1","protein_xref_genomics_england","EXT2","206","0007586","133701"
"Q9H9S5-1","protein_xref_genomics_england","FKRP","0111241","0013157","613153"
"Q9H9S5-1","protein_xref_genomics_england","FKRP","0110635","0011688","606612"
"Q9H9S5-1","protein_xref_genomics_england","FKRP","0110299","0011787","607155"
"O75072-1","protein_xref_genomics_england","FKTN","0050559","0009678","253800"
"O75072-1","protein_xref_genomics_england","FKTN","0112379","0013156","613152"
"O75072-1","protein_xref_genomics_england","FKTN","0110296","0012699","611588"
"Q9BYC5-1","protein_xref_genomics_england","FUT8","","0020775","618005"
"Q9BUM1-1","protein_xref_genomics_england","G6PC3","0112136","0012930","612541"
"Q10471-1","protein_xref_genomics_england","GALNT2","","0030043","618885"
"Q14435-1","protein_xref_genomics_england","GALNT3","0111063","0100252","211900"
"Q06210-1","protein_xref_genomics_england","GFPT1","0110660","0012518","610542"
"Q96IJ6-1","protein_xref_genomics_england","GMPPA","0112321","0014219","615510"
"Q9Y5P6-1","protein_xref_genomics_england","GMPPB","0111233","0014140","615350"
"Q9Y5P6-1","protein_xref_genomics_england","GMPPB","0112377","0014141","615351"
"Q9Y5P6-1","protein_xref_genomics_england","GMPPB","0110294","0014142","615352"
"Q9Y223-1","protein_xref_genomics_england","GNE","0080718","0011603","605820"
"Q5T7V8-1","protein_xref_genomics_england","GORAB","0111266","0009271","231070"
"O95461-1","protein_xref_genomics_england","LARGE1","0111242","0013158","613154"
"O95461-1","protein_xref_genomics_england","LARGE1","0110637","0012138","608840"
"Q9H0U3-1","protein_xref_genomics_england","MAGT1","0080319","0010455","300853"
"Q9UKM7-1","protein_xref_genomics_england","MAN1B1","0081097","0013624","614202"
"Q10469-1","protein_xref_genomics_england","MGAT2","0070253","0008908","212066"
"Q13724-1","protein_xref_genomics_england","MOGS","0070254","0011629","606056"
"O75352-1","protein_xref_genomics_england","MPDU1","0080558","0012211","609180"
"P34949-1","protein_xref_genomics_england","MPI","0080554","0011257","602579"
"Q96IV0-1","protein_xref_genomics_england","NGLY1","0060728","0800044","615273"
"Q9UHJ9-1","protein_xref_genomics_england","PGAP2","0070435","0013628","614207"
"Q96FM1-1","protein_xref_genomics_england","PGAP3","0070436","0014318","615716"
"P36871-1","protein_xref_genomics_england","PGM1","0060728","0800044","615273"
"O95394-1","protein_xref_genomics_england","PGM3","0111953","0014353","615816"
"P37287-1","protein_xref_genomics_england","PIGA","0080139","0010466","300868"
"Q9Y2B2-1","protein_xref_genomics_england","PIGL","0112152","0010221","280000"
"Q9H3S5-1","protein_xref_genomics_england","PIGM","","0012465","610293"
"O95427-1","protein_xref_genomics_england","PIGN","0080138","0013563","614080"
"Q8TEQ8-1","protein_xref_genomics_england","PIGO","0070434","0013882","614749"
"Q96S52-1","protein_xref_genomics_england","PIGS","0070382","0029140","618143"
"Q969N2-1","protein_xref_genomics_england","PIGT","0080140","0014165","615398"
"Q9NUD9-1","protein_xref_genomics_england","PIGV","0070433","0009398","239300"
"Q7Z7B1-1","protein_xref_genomics_england","PIGW","0070432","0014457","616025"
"O15305-1","protein_xref_genomics_england","PMM2","0080552","0008907","212065"
"Q8WZA1-1","protein_xref_genomics_england","POMGNT1","0111236","0009667","253280"
"Q8WZA1-1","protein_xref_genomics_england","POMGNT1","0110292","0013161","613157"
"Q8WZA1-1","protein_xref_genomics_england","POMGNT1","","0014929","617123"
"Q8NAT1-1","protein_xref_genomics_england","POMGNT2","0111231","0013904","614830"
"Q9H5K3-1","protein_xref_genomics_england","POMK","0111235","0014101","615249"
"Q9Y6A1-1","protein_xref_genomics_england","POMT1","0111229","0009364","236670"
"Q9Y6A1-1","protein_xref_genomics_england","POMT1","0050588","0013159","613155"
"Q9Y6A1-1","protein_xref_genomics_england","POMT1","0110297","0012248","609308"
"Q9UKY4-1","protein_xref_genomics_england","POMT2","0111240","0013154","613150"
"Q9UKY4-1","protein_xref_genomics_england","POMT2","0112380","0013160","613156"
"Q9UKY4-1","protein_xref_genomics_england","POMT2","0110298","0013162","613158"
"Q96AA3-1","protein_xref_genomics_england","RFT1","0080566","0012783","612015"
"Q15437-1","protein_xref_genomics_england","SEC23B","0111401","0009134","224100"
"P78382-1","protein_xref_genomics_england","SLC35A1","0070258","0011342","603585"
"P78381-1","protein_xref_genomics_england","SLC35A2","0070265","0010478","300896"
"Q96A29-1","protein_xref_genomics_england","SLC35C1","0070255","0009953","266265"
"Q9NTN3-1","protein_xref_genomics_england","SLC35D1","0050775","0010013","269250"
"O43826-1","protein_xref_genomics_england","SLC37A4","","0030437","619525"
"Q9C0K1-1","protein_xref_genomics_england","SLC39A8","0070266","0014746","616721"
"Q9H8P0-1","protein_xref_genomics_england","SRD5A3","0080568","0012885","612379"
"Q9H8P0-1","protein_xref_genomics_england","SRD5A3","0050807","0012991","612713"
"P51571-1","protein_xref_genomics_england","SSR4","0080574","0010490","300934"
"Q11203-1","protein_xref_genomics_england","ST3GAL3","0080414","0014003","615006"
"Q11203-1","protein_xref_genomics_england","ST3GAL3","0081180","0012612","611090"
"Q9UNP4-1","protein_xref_genomics_england","ST3GAL5","0060470","0018274","609056"
"P46977-1","protein_xref_genomics_england","STT3A","","0859223","619714"
"P46977-1","protein_xref_genomics_england","STT3A","0080572","0014270","615596"
"Q9HC07-1","protein_xref_genomics_england","TMEM165","0070263","0013870","614727"
"Q8N511-1","protein_xref_genomics_england","TMEM199","0070268","0014790","616829"
"Q13454-1","protein_xref_genomics_england","TUSC3","0081183","0012615","611093"
"Q86Y38-1","protein_xref_genomics_england","XYLT1","0060462","0014343","615777"
"Q9H1B5-1","protein_xref_genomics_england","XYLT2","","0011604","605822"
